pair_index,seed,first,second
1,880000,baseline,candidate
2,880001,candidate,baseline
3,880002,baseline,candidate
4,880003,candidate,baseline
5,880004,baseline,candidate
6,880005,candidate,baseline
7,880006,baseline,candidate
8,880007,candidate,baseline
9,880008,baseline,candidate
10,880009,candidate,baseline
11,880010,baseline,candidate
12,880011,candidate,baseline
13,880012,baseline,candidate
14,880013,candidate,baseline
15,880014,baseline,candidate
16,880015,candidate,baseline
17,880016,baseline,candidate
18,880017,candidate,baseline
19,880018,baseline,candidate
20,880019,candidate,baseline
21,880020,baseline,candidate
22,880021,candidate,baseline
23,880022,baseline,candidate
24,880023,candidate,baseline
25,880024,baseline,candidate
26,880025,candidate,baseline
27,880026,baseline,candidate
28,880027,candidate,baseline
29,880028,baseline,candidate
30,880029,candidate,baseline
